,id,title,daoId,juniorDescription,middleDescription,seniorDescription,startAt,endAt,author,createdAt,snapshotId,discussionLink,snapshotLink,userId,issueNumber,seniorLength,middleLength,juniorLength,sum_sent_count,text_sent_count,sum_word_count,text_word_count,sum_char_count,text_char_count,sum_word_density,text_word_density,sum_sent_density,text_sent_density,sum_punc_count,text_punc_count,text_stopw_count,sum_stopw_count,sum_stopw_density,text_stopw_density,GPT4_summary,GPT3_5_turbo_summary
10,11,"[Security] Increasing Gelato’s Security Budget, Bounties and Refunds",4,"A security budget is being proposed in order to refund those who lost funds in the Sorbet Finance vulnerability, pay bounties to those who helped secure funds, and allocate a higher security budge...","A security budget is being proposed in order to refund those who lost funds in the Sorbet Finance vulnerability, pay bounties to those who helped secure funds, and allocate a higher security budge...","Link to proposal summary: [link] --- Requested Budget Breakdown (taking $2.30 per GEL - the closing price of 4th of January 2022): Refunds: $780.000,00 (337,662.00 GEL) Bounties: $210.000,00 (91,3...",1641383820000,1641643020000,0xaabb54394e8dd61dd70897e9c80be8de7c64a895,1658239948546,0x463428baf86a600fdc8bec86bd319c2f123dfb84ad0a777169342255ce0a86eb,,https://snapshot.org/#/gelato.eth/proposal/0x463428baf86a600fdc8bec86bd319c2f123dfb84ad0a777169342255ce0a86eb,,11.0,389,218,218,1,1,36,70,183,336,0.195652,0.207715,0.027027,0.014085,3,46,6,14,0.378378,0.084507,"The proposed security budget for Gelato DAO involves a total cost of 1,298,533.00 GEL, equivalent to approximately 0.62% of the current Gelato DAO treasury. This budget is divided into three categ...","The proposal is suggesting a budget breakdown for Gelato DAO, a decentralized organization. They are requesting $780,000 for refunds, $210,000 for bounties, and $2,000,000 for future security. In ..."
11,12,ETHGlobal Web3Jam Hackathon Winners,4,"The Gelato DAO is proposing to give away $4,000 worth of GEL tokens to the winners of the Web3Jam Hackathon. The prize money will come from the Gelato DAO treasury, and it will be divided among th...","The Gelato DAO is proposing to give away $4,000 worth of GEL tokens to the winners of the Web3Jam Hackathon. The prize money will come from the Gelato DAO treasury, and it will be divided among th...","Gelato DAO Proposal 3. Summary: Over the last few months, we've been supporting builders and hackers in the Web3 space. Last month, we sponsored ETHGlobals Web3Jam Hackathon  10 amazing projects b...",1638889927000,1639149127000,0x8d0f1afc37f6b4c2119362f3f0a98c65941c998f,1658239948961,0x749adf118452e53caae7e039f17889e162ed67d996390108ea2caf020a40a187,,https://snapshot.org/#/gelato.eth/proposal/0x749adf118452e53caae7e039f17889e162ed67d996390108ea2caf020a40a187,,12.0,1360,215,215,2,22,41,223,176,1141,0.231638,0.195271,0.047619,0.098214,5,55,59,15,0.357143,0.263393,We've been helping people build on Gelato in the Web3 space and recently sponsored a hackathon where 5 projects really stood out. We're awarding them with prizes from our treasury - $4k total in G...,"Gelato DAO sponsored ETHGlobals Web3Jam Hackathon last month and 10 projects built on Gelato were recognized. The winners will receive prizes totaling $4k, funded by Gelato DAO treasury. The prize..."
12,13,[Liquidity]: Bootstrapping Uniswap v3 liquidity using G-UNI via Olympus Pro,4,"The Gelato team is proposing a plan to increase the liquidity of GEL tokens by issuing bonds through the Olympus Pro platform. The bonds will be purchased with G-UNI tokens, which can be acquired ...","The problem is that it's hard to buy and sell the Gelato token because there's not enough people trading it. This means that the price could be very volatile, and if you want to buy or sell you mi...","For more context about the specifics of this proposal, please check this forum post: [link] TLDR: Use 6,310,350.00 GEL (3%) from the Gelato DAO treasury to execute the outlined liquidity provision...",1638640179000,1638899379000,0xaabb54394e8dd61dd70897e9c80be8de7c64a895,1658239949400,0xc4a1ec415e3e47af4bb4e4d1c32738ded594c4593d26a03a964ca4752280624f,,https://snapshot.org/#/gelato.eth/proposal/0xc4a1ec415e3e47af4bb4e4d1c32738ded594c4593d26a03a964ca4752280624f,,13.0,688,804,255,2,5,46,112,210,580,0.218009,0.192771,0.042553,0.044248,5,22,33,18,0.382979,0.292035,"The proposal suggests that we use 6,310,350.00 GEL (3%) from Gelato DAO's fund to carry out strategies that improve how much money is available in our system. The first step involves creating a \"P...","The proposal suggests using 3% of the Gelato DAO treasury, which amounts to 6,310,350.00 GEL, to improve liquidity in the Gelato DAO's trading pair on Uniswap. This will involve developing \"Protoc..."
13,14,SushiGuardRouterV01 [Implementation],5,"This proposal is to create a system that will protect users of the Sushi protocol from MEV (Market Execution Venue) attacks. Additionally, the system will also generate profits from arbitrage (by ...",SushiGuardRouterV01 is a proposal to create a system that will protect users of Sushi from MEV attacks. It will also collect profits from arbitrage (back running) and split them between Sushi and ...,This proposals expectation is to produce an implementation. Full details and discussions can be found at: [link] Synopsis: SushiGuardRouterV01 implements MEV protection at the protocol level for S...,1657118477000,1658163600000,0x19b3eb3af5d93b77a5619b047de0eed7115a19e7,1658239949776,bafkreigjjhjx2j2b526d3poeg23w2xan4rcgnzvcxinsssv7n37lu5p7s4,https://forum.sushi.com/t/sushiguardrouterv01-formal-proposal/10785,https://snapshot.org/#/sushigov.eth/proposal/bafkreigjjhjx2j2b526d3poeg23w2xan4rcgnzvcxinsssv7n37lu5p7s4,,14.0,2013,321,265,2,17,42,322,224,1699,0.186667,0.189412,0.046512,0.052632,7,64,120,16,0.372093,0.371517,This proposal is for an implementation of SushiGuardRouterV01 that aims to provide MEV protection for Sushi users while also collecting profits from arbitrage. This action will mean more revenue g...,"The proposal suggests creating SushiGuardRouterV01, which will protect Sushi users from unfair practices in the crypto market and allow Sushi to earn profits that would otherwise go to arbitrage b..."
14,15,SushiHouse Funds Redemption Pt2 [Implementation],5,This proposal is about redeeming the SushiHouse tokens and selling them off for stables. Part 2 of the proposal will determine if the redeemed funds should be sold off for stables or not.,"The management team for SushiHouse is no longer in place, so this proposal is to determine whether the Sushi Treasury should redeem the funds that are currently in the SushiHouse tokens back to th...",This proposals expectation is to produce an implementation. Full details and discussions can be found at: [link] Synopsis: SushiHouse is a Set Token that was setup by Yams treasury management team...,1656278529000,1656946800000,0x19b3eb3af5d93b77a5619b047de0eed7115a19e7,1658239950201,QmeoNQXWU7Uam1SYYLwT7pjnTbtU3qy81PEAcgdeHYkvuq,https://forum.sushi.com/t/sushihouse-funds-redemption/10783,https://snapshot.org/#/sushigov.eth/proposal/QmeoNQXWU7Uam1SYYLwT7pjnTbtU3qy81PEAcgdeHYkvuq,,15.0,1267,450,187,2,10,33,212,155,1059,0.211538,0.200000,0.058824,0.046948,2,23,94,18,0.529412,0.441315,"The proposal suggests a two-part plan regarding SushiHouse, a Set Token previously managed by Yam's team for bear market safety. As the management is not available anymore, the proposal recommends...","This proposal suggests that the SushiHouse tokens, which were created to protect against market downturns, should be redeemed and the funds returned to the Sushi Treasury. The first part of the pr..."
15,16,SushiHouse Funds Redemption Pt1 [Implementation],5,"The proposal is to redeem the SushiHouse tokens back into the treasury. Part 1 of the proposal is to vote on the implementation of the redemption, and Part 2 is to vote on whether the funds redeem...","The proposal is to redeem the SushiHouse tokens back into the treasury. Part 1 of the proposal is to vote on the implementation of the redemption, and Part 2 is to vote on whether the funds redeem...",This proposals expectation is to produce an implementation. Full details and discussions can be found at: [link] Synopsis: SushiHouse is a Set Token that was setup by Yams treasury management team...,1656278358000,1656946800000,0x19b3eb3af5d93b77a5619b047de0eed7115a19e7,1658239950626,QmWEfwveAg713g6GjPPEgzdh3cPPadB1zUGmhDuTtf82jg,https://forum.sushi.com/t/sushihouse-funds-redemption/10783,https://snapshot.org/#/sushigov.eth/proposal/QmWEfwveAg713g6GjPPEgzdh3cPPadB1zUGmhDuTtf82jg,,16.0,1182,237,237,2,9,45,198,193,988,0.231959,0.200202,0.043478,0.045226,3,22,86,24,0.521739,0.432161,"The main aim of this proposal is to decide whether the assets from SushiHouse, a cryptocurrency token set up by Yam's treasury team, should be returned to the Sushi Treasury now that the managemen...","This proposal suggests redeeming the funds from the SushiHouse tokens and returning them to the Sushi Treasury. The management team responsible for these funds is no longer around, so this proposa..."
16,17,Treasury MultiSig Member Rotation [Signal],5,"This proposal is about whether or not the members of the Sushi Treasury multisig should be rotated. Currently, it is taking a long time for transactions to be executed because some members of the ...",The proposal is to rotate 3-4 positions on the treasury multisig. This would mean finding new members for the multisig who are willing to be actively engaged in the treasury. Candidates could be s...,This proposals expectation is to produce a community signal. Full details and discussions thus far can be found at: [link] Synopsis: The Sushi Treasury is backed by a 8 member Gnosis MultiSig. Ori...,1656278278000,1656946800000,0x19b3eb3af5d93b77a5619b047de0eed7115a19e7,1658239951047,QmTZTSq9LguJFcWnoZKqmANWiNBBrJCUEC3vVEQbseR4YN,https://forum.sushi.com/t/treasury-multisig-member-rotation/10782,https://snapshot.org/#/sushigov.eth/proposal/QmTZTSq9LguJFcWnoZKqmANWiNBBrJCUEC3vVEQbseR4YN,,17.0,982,302,317,3,7,56,162,262,822,0.212928,0.196841,0.052632,0.042945,4,17,68,30,0.526316,0.417178,"The Sushi Treasury, controlled by an 8-member group, is considering replacing 3-4 of its members due to their availability issues. These members were initially picked almost two years ago through ...",This proposal is suggesting that Sushi should consider replacing 3-4 members of the Treasury Multisig with new signers who can promptly sign transactions. The current members have become less avai...
17,18,KlimaDAO x Sushi Carbon Offset Integration [Signal],5,KlimaDAO wants to partner with Sushi Swap to offset the carbon emissions from each transaction on the Polygon decentralized exchange. This would allow users to offset their emissions with a one-cl...,KlimaDAO wants to partner with Sushi Swap to offset the carbon emissions from each transaction on the Polygon decentralized exchange. This would allow users to offset their emissions with a one-cl...,This proposals expectation is to produce a community signal. Full details and discussions thus far can be found at: [link] Synopsis: KlimaDAOs goal is to embed the cost of carbon emissions into ou...,1656278219000,1656946800000,0x19b3eb3af5d93b77a5619b047de0eed7115a19e7,1658239951471,QmTv4DARwft9sjaiBKpmqJj81YaBBGM5ejK995KrceJekH,https://forum.sushi.com/t/klimadao-x-sushi-swap-carbon-offset-integration/10678,https://snapshot.org/#/sushigov.eth/proposal/QmTv4DARwft9sjaiBKpmqJj81YaBBGM5ejK995KrceJekH,,18.0,1705,209,209,2,11,33,272,178,1441,0.184358,0.188627,0.058824,0.040293,3,34,108,12,0.352941,0.395604,"KlimaDAO aims to include the cost of carbon emissions in our economy by creating a carbon-based currency. This organization has chosen Sushi as the primary platform for trading these credits, turn...","KlimaDAO wants to create a system where the cost of carbon emissions is included in our economy. They have chosen Sushi as the platform for trading carbon-based credits, and they want to make it e..."
18,22,[1IP-09] Collect 1inch DAO Treasury Revenue in 1INCH Token in Addition to USDC,1,"The 1inch Network DAOs Treasury is currently made up entirely of USDC, a fiat-backed stablecoin. This proposal seeks to diversify the Treasury by adding other assets, such as ETH, WETH, WBTC, DAI,...","The proposal is about diversifying the 1inch Network DAO's Treasury, by enacting a strategy where some incoming Swap Surplus tokens are not exchanged for USDC, but instead are kept as collected (i...",Simple Summary. This proposal seeks to modify the 1inch Network DAO Treasurys revenue collection strategy by enacting the following changes: Switch from buying USDC with Swap Surplus revenue to bu...,1657550531000,1658155331000,0x824732d3f4eb94a20254cca9de10485ce445bb40,1658239953183,0xf232c7f50925954d32f2def1d64d31905346dd96a0fc8bcb6f029d29d0e6208e,https://gov.1inch.io/t/1ip-09-collect-1inch-dao-treasury-revenue-in-1inch-token-in-addition-to-usdc/3292,https://snapshot.org/#/1inch.eth/proposal/0xf232c7f50925954d32f2def1d64d31905346dd96a0fc8bcb6f029d29d0e6208e,,22.0,2948,547,206,2,27,35,496,173,2468,0.201149,0.200891,0.055556,0.054326,9,93,183,11,0.305556,0.368209,"This proposal suggests changing how the 1inch Network DAO collects its revenue. Instead of swapping it into USDC, the idea is to buy the DAO's own token, 1INCH, when its price is less than $1.30 a...","This proposal suggests changing how the 1inch Network collects revenue. Instead of buying USDC with extra revenue from swaps, they would buy 1inch tokens when the price is below $1.30. When the pr..."
19,23,[1IP-08] Simple diversification mechanism for 1inch DAO Treasury,1,The proposal is about diversifying the 1inch Network DAOs Treasury composition by enacting the following strategy: do not exchange a whitelisted set of tokens for USDC before sending to the 1inch ...,"The 1inch Network DAO is proposing to modify the way it collects revenue, by swapping tokens for 1INCH when the price is below $1.30, and swapping tokens for USDC when the price of 1INCH is above ...",Simple Summary. This proposal seeks to diversify the 1inch Network DAOs Treasury composition be enacting the following strategy: Do not exchange a whitelisted set of tokens for USDC before sending...,1657550436000,1658155236000,0x824732d3f4eb94a20254cca9de10485ce445bb40,1658239953747,0xddcbeb800fb1ba01c4a4963ab25dc702245c97e10e5c6f74a36e1f5e18e2f97a,https://gov.1inch.io/t/1ip-08-simple-diversification-mechanism-for-1inch-dao-treasury/3289,https://snapshot.org/#/1inch.eth/proposal/0xddcbeb800fb1ba01c4a4963ab25dc702245c97e10e5c6f74a36e1f5e18e2f97a,,23.0,2967,423,269,2,30,43,485,227,2485,0.188596,0.195093,0.045455,0.061728,8,64,177,15,0.340909,0.364198,"This proposal is about diversifying the 1inch network's funds. Right now, all the token revenue is converted to a type of token called USDC, which is tied to the US dollar. However, with the US do...","This proposal suggests diversifying the types of tokens held in the 1inch Network DAOs Treasury. Currently, all surplus tokens are converted to USDC before being sent to the Treasury. The proposal..."
20,24,[1IP-05] Add Derivative Aggregation to 1inch Network,1,"The proposal is about adding derivative aggregation to the 1inch Protocol. This means adding the ability to trade derivatives (like options) on the 1inch smart contracts, dApp, and API. The first ...","The 1inch Foundation is proposing to add derivative aggregation to the 1inch Protocol. This would allow users to pool their tokens together to earn yield from call option premiums, and takers woul...","Simple Summary. This proposal seeks to add derivative aggregation to the 1inch Protocol. Specifically, it calls for the following additions: Aggregation protocol is expanded to include derivatives...",1643636134000,1644240934000,0xa8ed85b1d441da00270ecc6dc3600f3cba9d4a03,1658239955225,0x5f0d629bc534471f9ec7b0d91e86be8eb4c1a3df4e19167976d7985589f90a39,,https://snapshot.org/#/1inch.eth/proposal/0x5f0d629bc534471f9ec7b0d91e86be8eb4c1a3df4e19167976d7985589f90a39,,24.0,2614,319,246,3,20,38,403,209,2211,0.180952,0.182188,0.076923,0.049505,7,47,146,11,0.282051,0.361386,"This proposal suggests adding a feature to the 1inch Protocol that will gather and organize various derivative products, with the first product being the Opium’s TURBO options. If implemented, 1in...","This proposal suggests adding derivative aggregation to the 1inch Protocol, which includes the smart contracts, dApp, and API. By doing so, 1inch can take advantage of the growing popularity of de..."
